Destination,State/Region,Category,Best Season to Visit,Popular Activities,Average Budget,Visitor Ratings,Number of Reviews,State,Rating,Budget_Level,Preferred_Activity,Season_Preference,User_Age_Group,Preferred_Travel_Type
Chennai,,Wildlife,,,,,,Tamil Nadu,3.268862165671468,High,Rafting,Winter,26-35,Friends
Amritsar,,Beach,,,,,,Himachal Pradesh,4.628133811902534,Medium,Hiking,Summer,26-35,Solo
Chennai,,Historical,,,,,,Madhya Pradesh,4.212219199705946,Medium,Hiking,Winter,50+,Friends
Pune,,Wildlife,,,,,,Punjab,4.899074874227304,Low,Trekking,Monsoon,50+,Friends
Kedarnath,,Heritage,,,,,,Goa,3.6790578382613868,Low,Safari,Summer,18-25,Friends
Jaisalmer,,Adventure,,,,,,Himachal Pradesh,3.2162918846743973,Medium,Photography,Monsoon,18-25,Family
Gwalior,,Heritage,,,,,,West Bengal,4.013002402073851,Medium,Boating,Any,18-25,Solo
Shimla,,Beach,,,,,,West Bengal,3.171621543418878,Low,Trekking,Any,50+,Friends
Coorg,,Beach,,,,,,Uttar Pradesh,4.939053046648014,High,Cultural Tour,Any,18-25,Friends
Jaisalmer,,Religious,,,,,,Himachal Pradesh,3.077369916514383,High,Safari,Monsoon,26-35,Friends
Mount Abu,,Religious,,,,,,Gujarat,4.507007802214616,High,Trekking,Monsoon,26-35,Family
Gwalior,,Wildlife,,,,,,Goa,4.050204796284488,High,Cultural Tour,Any,18-25,Family
Rann of Kutch,,Hill Station,,,,,,Karnataka,3.7372413049965774,Low,Safari,Monsoon,18-25,Solo
Agra,,Historical,,,,,,Uttarakhand,3.1316843290173093,Medium,Temple Visit,Winter,50+,Luxury
Mysore,,Heritage,,,,,,Punjab,4.244333848347216,High,Food Tour,Monsoon,26-35,Solo
Jaipur,,Wildlife,,,,,,Rajasthan,4.17044065878191,Low,Snowboarding,Winter,36-50,Family
Ajanta Caves,,Hill Station,,,,,,Gujarat,3.5617665461351997,Medium,Food Tour,Any,36-50,Friends
Mumbai,,Wildlife,,,,,,Rajasthan,4.820443402820624,High,Beach Activities,Monsoon,50+,Friends
Haridwar,,Historical,,,,,,Himachal Pradesh,3.6082200146856738,Medium,Photography,Any,50+,Solo
Mussoorie,,Historical,,,,,,Karnataka,3.899450821184212,High,Boating,Summer,50+,Friends
Ooty,,Beach,,,,,,Gujarat,4.087524911837312,Medium,Food Tour,Monsoon,26-35,Family
Bangalore,,Religious,,,,,,Tamil Nadu,3.200463756352572,High,Shopping,Monsoon,18-25,Solo
Manali,,Religious,,,,,,Punjab,4.864323438427265,High,Trekking,Any,18-25,Luxury
Ooty,,Historical,,,,,,Gujarat,3.749072304902082,Medium,Shopping,Any,50+,Family
Rann of Kutch,,Wildlife,,,,,,Jammu & Kashmir,3.1615584277486874,Medium,Temple Visit,Any,26-35,Family
Andaman,,Historical,,,,,,Karnataka,3.77458234735066,Medium,Palace Tour,Summer,36-50,Friends
Darjeeling,,Religious,,,,,,Maharashtra,4.200405094185161,Low,Beach Activities,Summer,50+,Family
Andaman,,Adventure,,,,,,Rajasthan,4.027305343642659,Low,Food Tour,Any,26-35,Family
Rishikesh,,Wildlife,,,,,,West Bengal,4.389083948074548,Medium,Rafting,Monsoon,50+,Luxury
Mumbai,,Beach,,,,,,Punjab,3.110967884135821,Low,Boating,Monsoon,26-35,Friends
Rishikesh,,Luxury,,,,,,Gujarat,3.5690812205441125,High,Palace Tour,Any,26-35,Family
Mysore,,Wildlife,,,,,,Tamil Nadu,4.638461153680204,Medium,Hiking,Winter,50+,Friends
Mussoorie,,Wildlife,,,,,,Goa,3.159787375582722,Low,Snowboarding,Summer,18-25,Family
Delhi,,Religious,,,,,,Karnataka,4.710971909391915,Medium,Photography,Summer,50+,Luxury
Darjeeling,,Beach,,,,,,Tamil Nadu,3.1837921841542123,High,Trekking,Winter,18-25,Friends
Chennai,,Wildlife,,,,,,Punjab,4.668908429783393,High,Temple Visit,Any,18-25,Friends
Gwalior,,Religious,,,,,,Jammu & Kashmir,3.721576802157453,Low,Safari,,36-50,Luxury
Coorg,,Historical,,,,,,Rajasthan,4.224418126514432,High,Hiking,Monsoon,26-35,Solo
Gwalior,,Heritage,,,,,,Karnataka,3.305774231295996,Medium,Food Tour,Summer,50+,Family
Darjeeling,,Beach,,,,,,West Bengal,3.1323374434503615,Low,Rafting,Winter,26-35,Family
Delhi,,Hill Station,,,,,,Madhya Pradesh,3.43187640804027,Medium,Hiking,Monsoon,36-50,Solo
Rishikesh,,Adventure,,,,,,Uttarakhand,3.255707635817391,Medium,Boating,Summer,18-25,Friends
Leh,,Hill Station,,,,,,Madhya Pradesh,3.6248117953592636,Medium,Snowboarding,Monsoon,50+,Friends
Rishikesh,,Luxury,,,,,,Goa,4.02876649302204,High,Food Tour,,26-35,Luxury
Udaipur,,Historical,,,,,,Karnataka,4.177518927130019,Medium,Snowboarding,Monsoon,36-50,Luxury
Ooty,,Beach,,,,,,West Bengal,4.579736214759485,High,Palace Tour,Summer,18-25,Luxury
Mysore,,Wildlife,,,,,,Jammu & Kashmir,4.312479786496717,Medium,Shopping,Winter,18-25,Solo
Haridwar,,Religious,,,,,,Maharashtra,4.217516650259106,High,Palace Tour,Any,26-35,Solo
Mount Abu,,Luxury,,,,,,Jammu & Kashmir,3.8235640549715493,High,Beach Activities,Winter,18-25,Friends
Chennai,,Beach,,,,,,Jammu & Kashmir,3.947616869920277,High,Food Tour,Monsoon,36-50,Luxury
Kerala,,Adventure,,,,,,Gujarat,3.829041658780362,Medium,Temple Visit,Winter,18-25,Friends
Gwalior,,Beach,,,,,,Madhya Pradesh,4.684332060122767,Medium,Boating,Monsoon,50+,Solo
Leh,,Luxury,,,,,,Rajasthan,3.4600009050967997,High,Safari,Summer,,Family
Agra,,Religious,,,,,,Punjab,3.0114418630839292,Medium,Safari,Summer,26-35,Friends
Goa,,Hill Station,,,,,,Karnataka,4.302639794452478,High,Hiking,Summer,36-50,Solo
Haridwar,,Heritage,,,,,,Punjab,3.404924367277663,Medium,Trekking,Monsoon,18-25,Luxury
Sikkim,,Hill Station,,,,,,Karnataka,4.780230272619619,High,Trekking,Winter,18-25,Family
Mount Abu,,Religious,,,,,,West Bengal,4.718092659413312,High,Boating,Any,18-25,Family
Kerala,,Luxury,,,,,,Madhya Pradesh,3.153454743856412,Low,Photography,Any,50+,Family
Shimla,,Religious,,,,,,Maharashtra,3.2127768108281547,Medium,Food Tour,Summer,36-50,Luxury
Darjeeling,,Historical,,,,,,Gujarat,3.990343184493333,Medium,Hiking,Any,18-25,Family
Jaipur,,Adventure,,,,,,Maharashtra,4.21844532553871,Low,Food Tour,Monsoon,26-35,Solo
Mumbai,,Beach,,,,,,Tamil Nadu,3.5498166749644815,High,Palace Tour,Winter,36-50,Friends
Leh,,Historical,,,,,,Madhya Pradesh,4.433595433398741,High,Rafting,Any,36-50,Family
,,Beach,,,,,,Gujarat,4.189832041837743,Low,Trekking,Any,18-25,Family
Jaisalmer,,Hill Station,,,,,,Uttarakhand,3.6496482194971094,Low,Photography,Winter,50+,Solo
Jim Corbett,,Luxury,,,,,,Jammu & Kashmir,3.0507429760846314,High,Rafting,Any,36-50,Luxury
Mount Abu,,Heritage,,,,,,Uttarakhand,4.500300562597035,Medium,Food Tour,Winter,26-35,Family
Kerala,,Heritage,,,,,,Uttar Pradesh,3.429507331650165,Low,Trekking,Monsoon,36-50,Solo
Goa,,Adventure,,,,,,Himachal Pradesh,4.668947486925257,Low,Safari,Monsoon,50+,Solo
Delhi,,Religious,,,,,,Jammu & Kashmir,3.84058052010851,Low,Snowboarding,Monsoon,26-35,Luxury
Shimla,,Adventure,,,,,,Uttarakhand,4.154154885263531,Low,,Summer,50+,Luxury
Prayagraj,,Beach,,,,,,Rajasthan,4.745897460818004,Low,Food Tour,Monsoon,18-25,Friends
Rishikesh,,Wildlife,,,,,,Himachal Pradesh,4.727246001839907,Low,Food Tour,Any,36-50,Family
Mussoorie,,Wildlife,,,,,,Madhya Pradesh,3.7430391504871467,High,Snowboarding,Summer,26-35,Friends
Pune,,Wildlife,,,,,,Maharashtra,3.4177777854296862,High,Rafting,Summer,50+,Solo
Varanasi,,Religious,,,,,,Jammu & Kashmir,4.550292155457189,Low,Boating,Summer,18-25,Family
Shimla,,Adventure,,,,,,Jammu & Kashmir,3.866160407204262,High,Snowboarding,Monsoon,26-35,Solo
Bangalore,,Historical,,,,,,Maharashtra,3.384083987118008,Medium,Photography,Summer,36-50,Solo
Chennai,,Luxury,,,,,,Tamil Nadu,4.808850684634301,Medium,Safari,Monsoon,36-50,Solo
Manali,,Hill Station,,,,,,Rajasthan,3.396208388482175,Low,Shopping,Monsoon,50+,Luxury
Darjeeling,,Beach,,,,,,Jammu & Kashmir,3.051614336382462,Medium,Food Tour,Summer,26-35,Luxury
Gwalior,,Wildlife,,,,,,Uttarakhand,3.04055994753484,Medium,Temple Visit,Summer,18-25,Family
Darjeeling,,,,,,,,Jammu & Kashmir,4.244630712908529,High,Safari,Any,18-25,Solo
Jim Corbett,,Heritage,,,,,,Madhya Pradesh,4.323350121435061,High,Rafting,Summer,18-25,Solo
Bangalore,,Historical,,,,,,Himachal Pradesh,3.6220834101139676,High,Snowboarding,Monsoon,50+,Family
Jaisalmer,,Adventure,,,,,,Madhya Pradesh,3.6400219784941266,High,Food Tour,Any,18-25,Friends
Prayagraj,,Beach,,,,,,Jammu & Kashmir,3.6789878301198855,Medium,Hiking,Any,26-35,Solo
Jim Corbett,,Beach,,,,,,Uttarakhand,4.360317093517757,Low,Food Tour,Monsoon,50+,Luxury
Prayagraj,,Heritage,,,,,,Goa,3.1162675820536574,High,Snowboarding,Summer,36-50,Friends
Sikkim,,Historical,,,,,,Himachal Pradesh,4.858232705382651,Medium,Boating,Summer,50+,Friends
Ooty,,Heritage,,,,,,Karnataka,3.445042088354893,High,Shopping,Winter,50+,Friends
Manali,,Heritage,,,,,,West Bengal,4.9993464104841845,Medium,Snowboarding,Summer,50+,Friends
Rishikesh,,Wildlife,,,,,,West Bengal,3.343045387574374,High,Trekking,Winter,26-35,Friends
Jaipur,,Historical,,,,,,Himachal Pradesh,4.543092914624755,Low,Cultural Tour,Any,36-50,Friends
Leh,,Wildlife,,,,,,Karnataka,3.4468250898592503,High,Hiking,Any,36-50,Family
Mysore,,Adventure,,,,,,Rajasthan,3.161693603286508,Low,Boating,Any,50+,Family
Jaipur,,Heritage,,,,,,Goa,4.749866648701298,High,Cultural Tour,Winter,50+,Friends
Darjeeling,,Hill Station,,,,,,Himachal Pradesh,4.717502518381783,High,Rafting,Monsoon,50+,Luxury
Udaipur,,Beach,,,,,,Uttarakhand,3.807140784899203,High,Palace Tour,Monsoon,26-35,Family
Kolkata,,Historical,,,,,,Gujarat,4.404792285080854,Medium,Safari,Any,26-35,Family
Goa,,Heritage,,,,,,Uttar Pradesh,4.114131865367835,Medium,Beach Activities,Winter,18-25,Friends
Delhi,,Historical,,,,,,Gujarat,4.705912227347498,Low,Snowboarding,Winter,36-50,Luxury
Delhi,,Beach,,,,,,Punjab,3.6301119386373086,Low,Safari,Any,18-25,Friends
Mumbai,,Religious,,,,,,Madhya Pradesh,4.047344799997971,Medium,Beach Activities,Summer,18-25,Luxury
Andaman,,Luxury,,,,,,Jammu & Kashmir,3.970744742409101,Low,Hiking,Any,50+,Luxury
Darjeeling,,Religious,,,,,,Karnataka,3.7078116525137172,Low,Rafting,Winter,26-35,Solo
Gwalior,,Heritage,,,,,,Madhya Pradesh,4.782910129112745,Medium,Rafting,Summer,18-25,Family
Ajanta Caves,,Beach,,,,,,Tamil Nadu,3.331755849325071,Medium,Palace Tour,Monsoon,18-25,Friends
Jim Corbett,,Luxury,,,,,,Goa,3.2990172790413923,,Boating,Summer,18-25,Family
Shimla,,Religious,,,,,,Uttarakhand,4.153819070645502,Medium,Safari,Monsoon,50+,Family
Mount Abu,,Heritage,,,,,,Tamil Nadu,4.314988459969884,High,Safari,Winter,50+,Luxury
Mussoorie,,Beach,,,,,,West Bengal,3.3892385086491306,Medium,Snowboarding,Any,26-35,Family
Jaisalmer,,Heritage,,,,,,Himachal Pradesh,3.781434884509248,Low,Rafting,Any,18-25,Solo
Agra,,Wildlife,,,,,,Madhya Pradesh,4.893127685957488,High,Beach Activities,Any,18-25,Friends
Mussoorie,,Beach,,,,,,Goa,3.493234845381348,High,Temple Visit,Any,26-35,Family
Ajanta Caves,,Religious,,,,,,Madhya Pradesh,4.336721404234789,Low,Palace Tour,Any,26-35,Friends
Kerala,,Heritage,,,,,,Madhya Pradesh,4.480298787395181,High,Boating,Winter,26-35,Family
Kolkata,,Historical,,,,,,Gujarat,3.8962573989303193,,Food Tour,Winter,36-50,Friends
Jaisalmer,,Religious,,,,,,Maharashtra,4.875051973519166,High,Temple Visit,Any,26-35,Friends
Rann of Kutch,,Heritage,,,,,,Jammu & Kashmir,4.473313470437581,High,Photography,Summer,50+,Friends
Goa,,Historical,,,,,,Punjab,3.9158491597217955,Low,Hiking,Any,36-50,Family
Ooty,,Historical,,,,,,Madhya Pradesh,4.138670403552188,Low,Trekking,Monsoon,26-35,Solo
Jim Corbett,,Adventure,,,,,,Karnataka,4.385226886850202,Low,Cultural Tour,Monsoon,50+,Friends
Pune,,Historical,,,,,,Gujarat,4.1843803608584365,Low,Palace Tour,Monsoon,26-35,Luxury
Goa,,Religious,,,,,,West Bengal,4.7573951676521515,Medium,Beach Activities,Monsoon,26-35,Luxury
Amritsar,,Religious,,,,,,Himachal Pradesh,3.7137773245608026,Medium,Hiking,Any,36-50,Luxury
Ajanta Caves,,Hill Station,,,,,,Jammu & Kashmir,3.5997714801116096,Low,Shopping,Monsoon,50+,Solo
Bangalore,,Luxury,,,,,,West Bengal,3.4276777789905286,Medium,Temple Visit,Summer,18-25,Friends
Pune,,Wildlife,,,,,,Maharashtra,3.0755659361291903,Low,Beach Activities,Any,26-35,Solo
Kolkata,,Religious,,,,,,Tamil Nadu,3.0860279287601107,Low,Shopping,Monsoon,36-50,Friends
Mount Abu,,Beach,,,,,,Gujarat,4.740110386218566,High,Snowboarding,Any,50+,Solo
Ajanta Caves,,Luxury,,,,,,Punjab,4.356786292811814,Low,Palace Tour,Any,26-35,Friends
Chennai,,Historical,,,,,,Punjab,4.321064830872972,Low,Rafting,Any,18-25,Luxury
Leh,,Heritage,,,,,,Madhya Pradesh,4.229285637869772,Low,Boating,Winter,50+,Friends
Pune,,Adventure,,,,,,Jammu & Kashmir,4.69843828938821,Low,Beach Activities,Monsoon,50+,Solo
Prayagraj,,Beach,,,,,,Uttarakhand,3.960533851331255,High,Safari,Winter,36-50,Friends
Prayagraj,,Luxury,,,,,,Jammu & Kashmir,4.740821657116601,Low,Photography,Summer,26-35,Family
Ooty,,Beach,,,,,,West Bengal,3.718890052364478,High,Temple Visit,Summer,26-35,Friends
Shimla,,Beach,,,,,,Madhya Pradesh,4.853415008678181,Low,Safari,Winter,50+,Luxury
Haridwar,,Beach,,,,,,Karnataka,4.39731396016248,High,Beach Activities,Monsoon,26-35,Friends
Leh,,Luxury,,,,,,Uttarakhand,3.5143542720488545,Medium,Temple Visit,Any,50+,Family
Leh,,Adventure,,,,,,Punjab,4.1281698433772505,High,Rafting,Summer,18-25,Family
Mount Abu,,Historical,,,,,,Uttar Pradesh,4.066061122976511,High,Cultural Tour,Summer,36-50,Family
Mumbai,,Hill Station,,,,,,Punjab,3.2757976434606677,Low,Cultural Tour,Summer,26-35,Solo
Sikkim,,Wildlife,,,,,,Jammu & Kashmir,4.182485811501229,High,Snowboarding,Monsoon,26-35,
Gwalior,,Historical,,,,,,West Bengal,3.629571247433916,High,Trekking,Winter,36-50,Solo
Jaipur,,Religious,,,,,,Uttarakhand,3.1046975336192046,Low,Cultural Tour,Winter,18-25,Family
Prayagraj,,Luxury,,,,,,Himachal Pradesh,4.89731231541313,Medium,Trekking,Monsoon,18-25,Solo
Sikkim,,Beach,,,,,,Uttarakhand,4.282980738128575,Medium,Temple Visit,Summer,18-25,Family
Haridwar,,Historical,,,,,,Maharashtra,4.753837863741694,Medium,Cultural Tour,Monsoon,18-25,Family
Rishikesh,,Religious,,,,,,Rajasthan,4.352112010026506,High,Beach Activitie,Monsoon,18-25,Friends
Darjeeling,,Luxury,,,,,,Gujarat,3.7139673842802257,Low,Rafting,,50+,Family
Mussoorie,,Religious,,,,,,Rajasthan,4.025376144657622,Medium,Beach Activities,Monsoon,26-35,Friends
Darjeeling,,Beach,,,,,,Goa,4.351493520694354,Medium,Beach Activities,Monsoon,26-35,Family
Goa,,Hill Station,,,,,,Tamil Nadu,4.920504650402875,Medium,Trekking,Summer,26-35,Family
Agra,,Luxury,,,,,,Goa,3.507338918243393,Medium,Food Tour,Any,50+,Friends
Manali,,Religious,,,,,,Madhya Pradesh,4.749954117248235,Low,Food Tour,Summer,36-50,Friends
Kerala,,Heritage,,,,,,Karnataka,4.848155610588539,Medium,Photography,Winter,18-25,Solo
Ooty,,Religious,,,,,,Karnataka,4.340831029317913,High,Photography,Any,36-50,Luxury
Prayagraj,,Wildlife,,,,,,Goa,4.862533254802676,High,Boating,Summer,18-25,Friends
Goa,,Beach,,,,,,Madhya Pradesh,3.795757174954737,Low,Hiking,Monsoon,18-25,Solo
Varanasi,,Adventure,,,,,,Uttarakhand,4.906032352080885,Medium,Hiking,Monsoon,36-50,Family
Rann of Kutch,,Religious,,,,,,West Bengal,4.40556575433195,Medium,Cultural Tour,Any,26-35,Friends
Andaman,,Hill Station,,,,,,Gujarat,3.084011534837624,High,Hiking,Any,50+,Friends
Delhi,,Heritage,,,,,,Goa,,Low,Rafting,Monsoon,36-50,Family
Agra,,Heritage,,,,,,Jammu & Kashmir,3.9689456180663854,High,Rafting,Winter,26-35,Family
Gwalior,,Adventure,,,,,,Madhya Pradesh,3.9206539695556657,Low,Safari,Summer,18-25,Family
Mount Abu,,Historical,,,,,,Uttarakhand,4.132933211959268,Low,Photography,Monsoon,26-35,Family
Andaman,,Wildlife,,,,,,West Bengal,3.2987690935424556,Low,Beach Activities,Summer,18-25,Luxury
Jim Corbett,,Adventure,,,,,,Rajasthan,3.938332097134797,High,Rafting,Summer,18-25,Friends
Pune,,Wildlife,,,,,,Uttar Pradesh,4.662254433435491,Low,Temple Visit,Summer,26-35,Family
Kolkata,,Religious,,,,,,Karnataka,3.0309649182750307,High,Palace Tour,Summer,18-25,Family
Jaipur,,Beach,,,,,,Jammu & Kashmir,3.5458343206487424,High,Beach Activities,Winter,50+,Luxury
Haridwar,,Hill Station,,,,,,Himachal Pradesh,3.0049091728876887,Medium,Photography,Winter,26-35,Friends
Jaipur,,Heritage,,,,,,Tamil Nadu,3.8314226182996967,High,Trekking,Winter,36-50,Solo
Mount Abu,,Adventure,,,,,,Himachal Pradesh,4.456631020987469,High,Shopping,Monsoon,18-25,Friends
Varanasi,,Hill Station,,,,,,West Bengal,4.597543658229257,Medium,Photograph,Monsoon,18-25,Solo
Varanasi,,Wildlife,,,,,,Gujarat,4.890379522254014,Medium,Hiking,Monsoon,50+,Luxury
Bangalore,,Beach,,,,,,Madhya Pradesh,4.217009225941573,Medium,Beach Activities,Winter,50+,Family
Kerala,,Heritage,,,,,,Maharashtra,3.509253733305791,Low,Rafting,Summer,36-50,Luxury
Kerala,,Heritage,,,,,,West Bengal,4.848295898273398,Low,Snowboarding,Winter,18-25,Friends
Agra,,Wildlife,,,,,,Uttar Pradesh,4.550631507760752,Medium,Photography,Monsoon,36-50,Family
Shimla,,Beach,,,,,,Rajasthan,4.148856966006289,Low,Temple Visit,Any,36-50,Friends
Jim Corbett,,Heritage,,,,,,Punjab,4.391280431437872,Medium,Hiking,Monsoon,18-25,Solo
Mumbai,,Beach,,,,,,West Bengal,4.848632710014858,Low,Temple Visit,Summer,36-50,Friends
Manali,,Heritage,,,,,,Madhya Pradesh,4.424788056945843,High,Cultural Tour,Winter,36-50,Luxury
Sikkim,,Religious,,,,,,Rajasthan,3.736749015169468,Low,Photography,Any,50+,Luxury
Goa,,Wildlif,,,,,,Gujarat,4.426056404578193,Low,Food Tour,Any,50+,Luxury
Delhi,,Beach,,,,,,Himachal Pradesh,3.0805563254707757,,Trekking,Summer,36-50,Family
Goa,,Hill Station,,,,,,West Bengal,3.7728311236611622,Medium,Cultural Tour,Winter,18-25,Friends
Jaipur,,Historical,,,,,,West Bengal,3.8126460636911585,Low,Boating,Any,50+,Family
Mussoorie,,Religious,,,,,,Goa,3.333676468841669,Low,Palace Tour,Monsoon,36-50,Friends
Kedarnath,,Luxury,,,,,,Himachal Pradesh,3.0461709611035404,High,Safari,Summer,26-35,Solo
Jim Corbett,,Hill Station,,,,,,Tamil Nadu,3.2667624732754854,High,Temple Visit,Any,26-35,Friends
Kedarnath,,Wildlife,,,,,,Tamil Nadu,4.30924299159411,High,Trekking,Summer,36-50,Friends
Mumbai,,Heritage,,,,,,Jammu & Kashmir,4.604577632727375,High,Food Tour,Winter,26-35,Friends
Delhi,,Luxury,,,,,,Maharashtra,4.9764069854539486,Medium,Shopping,Winter,50+,Friends
Mussoorie,,Hill Station,,,,,,Karnataka,3.6927270062169884,Low,Trekking,Winter,18-25,Solo
Goa,,Religious,,,,,,Punjab,4.198758444522204,Low,Safari,Monsoon,36-50,Family
Leh,,Luxury,,,,,,West Bengal,4.874289933630244,Low,Photography,Any,50+,Luxury
Shimla,,Luxury,,,,,,West Bengal,3.3340835626763052,Low,,Winter,18-25,Friends
Mussoorie,,Beach,,,,,,Jammu & Kashmir,4.435291172685485,Medium,Photography,Monsoon,26-35,Luxury
Manali,,Adventure,,,,,,Maharashtra,4.509957466298326,Low,Safari,Winter,26-35,Luxury
Shimla,,Hill Station,,,,,,Himachal Pradesh,3.1779510717386765,Medium,Cultural Tour,Winter,26-35,Luxury
Leh,,Adventure,,,,,,West Bengal,4.72249877036613,Medium,Beach Activities,Any,26-35,Luxury
Ajanta Caves,,Wildlife,,,,,,Rajasthan,4.626210094221688,High,Boating,Monsoon,50+,Friends
Leh,,Hill Station,,,,,,Uttarakhand,3.066806013154869,High,Boating,Winter,50+,Luxury
Haridwar,,Hill Station,,,,,,Karnataka,3.182168829760103,Low,Raftin,Monsoon,18-25,Friends
Kolkata,,Beach,,,,,,Maharashtra,3.0982537877837046,Medium,Boating,Monsoon,36-50,Solo
Hyderabad,,Heritage,,,,,,West Bengal,3.6694870635987247,High,Trekking,Winter,18-25,Family
Kolkata,,Religious,,,,,,Maharashtra,4.018577981359853,Medium,Hiking,Winter,36-50,Family
Leh,,Religious,,,,,,Tamil Nadu,4.064695455909257,High,Boating,Summer,26-35,Friends
Leh,,Religious,,,,,,Gujarat,3.5353335195388853,Medium,Food Tour,Any,26-35,Friends
Haridwar,,Historical,,,,,,Madhya Pradesh,4.823193773120549,Low,Hiking,Winter,26-35,Family
Prayagraj,,Wildlife,,,,,,Punjab,3.7365255797438266,Low,Shopping,Summer,26-35,Luxury
Darjeeling,,Luxury,,,,,,West Bengal,3.0911003119307052,Medium,Hiking,Any,50+,Friends
Bangalore,,Heritage,,,,,,Punjab,3.6004542230827727,High,Boating,Winter,18-25,Luxury
Leh,,Adventure,,,,,,Uttar Pradesh,4.062218845088311,High,Temple Visit,Monsoon,36-50,Friends
Shimla,,Religious,,,,,,Gujarat,3.816443645176464,Low,Rafting,Any,36-50,Friends
Coorg,,Historical,,,,,,Uttarakhand,3.5476850381985185,Low,Shopping,Monsoon,50+,Solo
Agra,,Adventure,,,,,,Jammu & Kashmir,3.2626464995286346,Low,Trekking,Summer,26-35,Solo
Delhi,,Heritage,,,,,,Punjab,4.63832900019246,High,Safari,Winter,18-25,Family
Mysore,,Wildlife,,,,,,West Bengal,4.992290484248384,High,Cultural Tour,Summer,26-35,Solo
Sikkim,,Heritage,,,,,,Goa,3.6590842670477643,Low,Palace Tour,Winter,50+,Solo
Coorg,,Beach,,,,,,Jammu & Kashmir,3.763242088353208,Medium,Cultural Tour,Winter,36-50,Family
Kerala,,Luxury,,,,,,Karnataka,4.236075049353914,High,Beach Activities,Monsoon,50+,Luxury
Hyderabad,,Religious,,,,,,Jammu & Kashmir,4.436882949471083,Low,Palace Tour,Summer,36-50,Solo
Jim Corbett,,Wildlife,,,,,,Himachal Pradesh,3.7840590696071823,Medium,Food Tou,Monsoon,18-25,Luxury
Leh,,Beach,,,,,,Punjab,4.8098590339636305,High,Snowboarding,Monsoon,36-50,Family
Ooty,,Religious,,,,,,Goa,4.120007978457837,Medium,Rafting,Monsoon,18-25,Friends
Prayagraj,,Heritage,,,,,,Punjab,3.900780152811862,Medium,Safari,Summer,26-35,Luxury
Kerala,,Heritage,,,,,,Himachal Pradesh,4.2933455063198105,High,Hiking,Winter,26-35,Family
Sikkim,,Historical,,,,,,Gujarat,4.905607696498347,Low,Cultural Tour,Winter,50+,Luxury
Jaipur,,Hill Station,,,,,,Madhya Pradesh,4.589104588843411,Medium,Boating,Summer,18-25,Family
Varanasi,,Hill Station,,,,,,Gujarat,3.0800262610702487,,Rafting,Winter,26-35,Family
Manali,,Heritage,,,,,,Madhya Pradesh,,High,Boatin,Summer,18-25,Friends
,,Heritage,,,,,,Madhya Pradesh,3.9410893699024454,Medium,Rafting,Summer,26-35,Luxury
Ooty,,Adventure,,,,,,Karnataka,3.6290351444182107,Medium,Rafting,Winter,26-35,Friends
Agra,,Historical,,,,,,Uttarakhand,4.400375121660913,Medium,Beach Activities,Any,36-50,Friends
Ooty,,Luxury,,,,,,West Bengal,,Medium,Temple Visit,Monsoon,50+,Luxury
Coorg,,Adventure,,,,,,Tamil Nadu,4.462690190370543,Medium,Food Tour,Summer,36-50,Luxury
Jim Corbett,,Luxury,,,,,,Gujarat,4.97866657365655,High,Hiking,Summer,18-25,Family
Manali,,Beach,,,,,,Tamil Nadu,3.545095295786058,Medium,Boating,Any,26-35,Luxury
Mysore,,Hill Station,,,,,,Punjab,4.749978990048843,High,Boating,Summer,50+,Family
Andaman,,Hill Station,,,,,,Karnataka,4.533245330348972,Low,Boating,Summer,26-35,Family
Haridwar,,Historical,,,,,,Himachal Pradesh,3.724357515116292,High,Beach Activities,Winter,26-35,Family
Chennai,,Heritage,,,,,,Madhya Pradesh,4.4682490873139376,Medium,Cultural Tour,Winter,36-50,Family
Agra,,Heritage,,,,,,Maharashtra,3.208151912836494,Low,Trekking,Any,18-25,Family
Jim Corbett,,Beach,,,,,,West Bengal,4.578666964681105,High,Boating,Summer,50+,Family
Coorg,,Wildlife,,,,,,Punjab,4.064661205174206,High,Cultural Tour,Monsoon,50+,Luxury
Mysore,,Wildlife,,,,,,Maharashtra,3.584580345418506,High,Temple Visit,Winter,50+,Luxury
Amritsar,,Historical,,,,,,West Bengal,4.311554603568361,Medium,Boating,Monsoon,18-25,Solo
Mysore,,Wildlife,,,,,,Maharashtra,4.283239997428818,Medium,Food Tour,Monsoon,50+,Luxury
Goa,,Hill Station,,,,,,Jammu & Kashmir,3.4189724454391994,High,Safari,Any,18-25,Friends
