Budget_Level,User_Age_Group,Destination,State,Category,Rating,Preferred_Activity,Season_Preference,Preferred_Travel_Type
Low,36-50,Andaman,Andaman & Nicobar,Urban,3.8,Trekking,Spring,Family
Medium,36-50,Jaipur,Rajasthan,Adventure,3.4,Wildlife,Winter,Group
Medium,18-25,Shimla,Himachal Pradesh,Heritage,2.9,Pilgrimage,Winter,Solo
Low,26-35,Darjeeling,West Bengal,Hill Station,2.1,Pilgrimage,Winter,Family
High,50+,Mysore,Karnataka,Spiritual,3.6,Trekking,Winter,Solo
Medium,36-50,Hyderabad,Telangana,Spiritual,4.4,Relaxation,Summer,Solo
Low,26-35,Hyderabad,Telangana,Spiritual,3.6,Sightseeing,Spring,Solo
Medium,50+,Mysore,Karnataka,Adventure,3.6,Wildlife,Autumn,Family
High,36-50,Ooty,Tamil Nadu,Urban,3.3,Pilgrimage,Spring,Friends
Medium,18-25,Hyderabad,Telangana,Hill Station,2.9,Trekking,Monsoon,Solo
Low,50+,Shimla,Himachal Pradesh,Adventure,3.1,Wildlife,Monsoon,Family
Medium,18-25,Mumbai,Maharashtra,Spiritual,5.0,Trekking,Autumn,Friends
Low,50+,Udaipur,Rajasthan,Beach,4.1,Wildlife,Monsoon,Solo
Low,26-35,Hyderabad,Telangana,Adventure,3.0,Pilgrimage,Autumn,Friends
Low,36-50,Mussoorie,Uttarakhand,Urban,3.1,Trekking,Monsoon,Couple
High,18-25,Shimla,Himachal Pradesh,Spiritual,3.2,Trekking,Autumn,Couple
High,50+,Andaman,Andaman & Nicobar,Hill Station,3.8,Wildlife,Summer,Friends
Low,26-35,Darjeeling,West Bengal,Heritage,3.1,Wildlife,Monsoon,Group
Medium,50+,Manali,Himachal Pradesh,Spiritual,3.9,Sightseeing,Autumn,Family
Low,26-35,Shimla,Himachal Pradesh,Hill Station,2.7,Water Sports,Winter,Group
High,50+,Udaipur,Rajasthan,Heritage,2.9,Trekking,Summer,Solo
High,50+,Ooty,Tamil Nadu,Heritage,4.5,Water Sports,Summer,Friends
Low,26-35,Udaipur,Rajasthan,Spiritual,2.7,Relaxation,Summer,Solo
Medium,50+,Delhi,Delhi,Adventure,4.9,Pilgrimage,Spring,Family
Medium,36-50,Shimla,Himachal Pradesh,Spiritual,2.1,Pilgrimage,Spring,Couple
,26-35,Shimla,Himachal Pradesh,Urban,2.3,Trekking,Autumn,Group
Low,18-25,Agra,Uttar Pradesh,Spiritual,3.1,Relaxation,Summer,Family
Medium,26-35,Ooty,Tamil Nadu,Urban,4.3,Wildlife,Winter,Family
Medium,36-50,Andaman,Andaman & Nicobar,Spiritual,4.1,Relaxation,Spring,Solo
Low,36-50,Kerala,Kerala,Spiritual,2.1,Wildlife,Autumn,Group
High,50+,Goa,Goa,Beach,2.3,Trekking,Summer,Solo
Low,26-35,Sikkim,Sikkim,Spiritual,3.5,Water Sports,Spring,Couple
Low,50+,Udaipur,Rajasthan,Beach,2.5,Water Sports,Spring,Family
Medium,26-35,Chennai,Tamil Nadu,Spiritual,3.0,Sightseeing,Winter,Group
Low,50+,Jaipur,Rajasthan,Heritage,3.2,Relaxation,Autumn,Family
Medium,36-50,Darjeeling,West Bengal,Spiritual,3.6,Sightseeing,Autumn,Friends
Medium,36-50,Mysore,Karnataka,Spiritual,2.4,Wildlife,Monsoon,Couple
Medium,36-50,Varanasi,Uttar Pradesh,Urban,2.8,Water Sports,Winter,Group
Low,18-25,Udaipur,Rajasthan,Spiritual,1.8,Wildlife,Autumn,Group
High,50+,Goa,Goa,Beach,3.3,Trekking,Spring,Friends
Medium,36-50,Shimla,Himachal Pradesh,Hill Station,4.4,Pilgrimage,Winter,Family
Low,,Udaipur,Rajasthan,Hill Station,1.9,Sightseeing,Winter,Family
High,50+,Delhi,Delhi,Spiritual,1.9,Sightseeing,Monsoon,Friends
High,50+,Mussoorie,Uttarakhand,Spiritual,1.8,Pilgrimage,Winter,Couple
High,18-25,Delhi,Delhi,Urban,4.5,Relaxation,Summer,Family
Medium,50+,Andaman,Andaman & Nicobar,Heritage,1.8,Pilgrimage,Autumn,Friends
Medium,50+,Hyderabad,Telangana,Spiritual,4.9,Sightseeing,Monsoon,Friends
Low,50+,Jaipur,Rajasthan,Spiritual,2.8,Water Sports,Spring,Solo
High,50+,Shimla,Himachal Pradesh,Adventure,2.7,Trekking,Winter,Family
High,36-50,Mysore,Karnataka,Beach,1.8,Water Sports,Autumn,Family
Low,50+,Chennai,Tamil Nadu,Beach,3.5,Trekking,Winter,Solo
High,26-35,Agra,Uttar Pradesh,Beach,3.6,Relaxation,Spring,Solo
Medium,50+,Ooty,Tamil Nadu,Urban,3.2,Relaxation,Monsoon,Friends
High,36-50,Hyderabad,Telangana,Adventure,2.6,Sightseeing,Autumn,Group
High,36-50,Varanasi,Uttar Pradesh,Heritage,2.8,Wildlife,Spring,Family
Low,18-25,Jaipur,Rajasthan,Hill Station,2.6,Relaxation,Spring,Family
Medium,18-25,Darjeeling,West Bengal,Hill Station,3.0,Sightseeing,Summer,Group
Low,50+,Agra,Uttar Pradesh,Hill Station,2.7,Relaxation,Winter,Friends
Low,18-25,Kolkata,West Bengal,Beach,3.9,Wildlife,Autumn,Solo
Low,18-25,Udaipur,Rajasthan,Urban,2.5,Relaxation,Autumn,Group
Medium,50+,Chennai,Tamil Nadu,Adventure,2.7,Pilgrimage,Monsoon,Friends
High,26-35,Hyderabad,Telangana,Adventure,3.0,Water Sports,Autumn,Solo
Low,26-35,Leh,Ladakh,Urban,1.5,Sightseeing,Winter,Family
Low,36-50,Goa,Goa,Urban,3.2,Relaxation,Winter,Solo
High,26-35,Ooty,Tamil Nadu,Heritage,2.4,Trekking,Summer,Family
High,50+,Jaipur,Rajasthan,Hill Station,1.7,Trekking,Summer,Family
Medium,26-35,Mysore,Karnataka,Spiritual,4.7,Trekking,Spring,Family
Low,18-25,Manali,Himachal Pradesh,Adventure,2.6,Pilgrimage,Autumn,Family
Medium,18-25,Goa,Goa,Heritage,3.0,Water Sports,Monsoon,Family
High,18-25,Kolkata,West Bengal,Urban,4.4,Pilgrimage,Summer,Solo
High,18-25,Goa,Goa,Heritage,2.1,Wildlife,Spring,Couple
Medium,50+,Hyderabad,Telangana,Heritage,4.5,Water Sports,Winter,Couple
Low,50+,Goa,Goa,Hill Station,2.3,Sightseeing,Monsoon,Friends
High,26-35,Leh,Ladakh,Heritage,3.6,Relaxation,Summer,Family
High,50+,Bangalore,Karnataka,Hill Station,3.9,Sightseeing,Spring,Couple
Medium,50+,Manali,Himachal Pradesh,Hill Station,4.7,Pilgrimage,Summer,Group
Medium,,Goa,Goa,Spiritual,3.6,Sightseeing,Summer,Solo
High,50+,Leh,Ladakh,Beach,3.1,Wildlife,Winter,Friends
High,50+,Goa,Goa,Beach,3.5,Trekking,Winter,Group
Low,36-50,Manali,Himachal Pradesh,Spiritual,2.2,Trekking,Autumn,Group
Low,26-35,Delhi,Delhi,Urban,3.9,Sightseeing,Summer,Family
Low,18-25,Varanasi,Uttar Pradesh,Beach,2.2,Water Sports,Autumn,Solo
Medium,50+,Udaipur,Rajasthan,Adventure,3.5,Water Sports,Spring,Group
High,50+,Goa,Goa,Spiritual,3.8,Sightseeing,Winter,Friends
High,18-25,Shimla,Himachal Pradesh,Urban,4.6,Relaxation,Summer,Couple
Low,18-25,Mysore,Karnataka,Urban,3.1,Trekking,Spring,Couple
High,18-25,Jaipur,Rajasthan,Hill Station,4.2,Relaxation,Spring,Solo
High,18-25,Varanasi,Uttar Pradesh,Heritage,1.1,Wildlife,Summer,Friends
Medium,50+,Shimla,Himachal Pradesh,Heritage,3.3,Trekking,Autumn,Friends
High,50+,Leh,Ladakh,Spiritual,3.6,Pilgrimage,Spring,Group
Medium,50+,Manali,Himachal Pradesh,Urban,3.7,Relaxation,Monsoon,Couple
Low,18-25,Ooty,Tamil Nadu,Urban,4.1,Relaxation,Monsoon,Family
High,26-35,Chennai,Tamil Nadu,Urban,2.5,Sightseeing,Spring,Group
Medium,50+,Andaman,Andaman & Nicobar,Spiritual,3.7,Pilgrimage,Monsoon,Solo
Low,26-35,Goa,Goa,Spiritual,2.2,Sightseeing,Monsoon,Family
Low,36-50,Manali,Himachal Pradesh,Heritage,2.3,Relaxation,Autumn,Solo
High,36-50,Jaipur,Rajasthan,Heritage,1.7,Water Sports,Autumn,Family
Medium,36-50,Andaman,Andaman & Nicobar,Adventure,4.1,Sightseeing,Monsoon,Family
Medium,50+,Goa,Goa,Spiritual,3.3,Sightseeing,Spring,Friends
Low,18-25,Bangalore,Karnataka,Beach,2.3,Pilgrimage,Autumn,Solo
Low,36-50,Udaipur,Rajasthan,Urban,3.4,Sightseeing,Autumn,Group
Low,26-35,Bangalore,Karnataka,Adventure,2.7,Water Sports,Monsoon,Family
Medium,18-25,Jaipur,Rajasthan,Spiritual,4.4,Trekking,Autumn,Family
Low,26-35,Udaipur,Rajasthan,Heritage,3.3,Pilgrimage,Summer,Friends
Low,18-25,Chennai,Tamil Nadu,Adventure,1.6,Sightseeing,Summer,Friends
Low,18-25,Sikkim,Sikkim,Urban,4.9,Trekking,Autumn,Family
High,36-50,Manali,Himachal Pradesh,Spiritual,1.8,Wildlife,Monsoon,Family
Medium,50+,Kolkata,West Bengal,Adventure,3.9,Sightseeing,Spring,Solo
Medium,18-25,Kerala,Kerala,Beach,3.0,Relaxation,Summer,Couple
Low,,Mysore,Karnataka,Urban,2.4,Pilgrimage,Winter,Couple
Medium,50+,Sikkim,Sikkim,Spiritual,3.9,Sightseeing,Monsoon,Group
High,26-35,Sikkim,Sikkim,Urban,1.9,Wildlife,Spring,Solo
Low,26-35,Mysore,Karnataka,Spiritual,4.5,Trekking,Winter,Couple
Medium,26-35,Kolkata,West Bengal,Hill Station,2.4,Trekking,Winter,Family
High,26-35,Chennai,Tamil Nadu,Adventure,2.8,Relaxation,Autumn,Solo
High,26-35,Mumbai,Maharashtra,Adventure,0.0,Relaxation,Summer,Family
Medium,26-35,Darjeeling,West Bengal,Beach,3.2,Trekking,Autumn,Couple
,50+,Goa,Goa,Adventure,4.6,Trekking,Spring,Solo
Low,26-35,Sikkim,Sikkim,Heritage,3.9,Water Sports,Winter,Friends
High,18-25,Delhi,Delhi,Heritage,2.9,Wildlife,Spring,Group
Low,36-50,Hyderabad,Telangana,Adventure,3.8,Trekking,Monsoon,Family
High,26-35,Agra,Uttar Pradesh,Spiritual,4.8,Trekking,Summer,Family
Low,26-35,Ooty,Tamil Nadu,Beach,2.2,Water Sports,Monsoon,Couple
Low,36-50,Hyderabad,Telangana,Adventure,3.4,Pilgrimage,Summer,Couple
High,50+,Varanasi,Uttar Pradesh,Hill Station,2.3,Sightseeing,Autumn,Family
Medium,36-50,Hyderabad,Telangana,Beach,4.5,Sightseeing,Monsoon,Family
High,,Sikkim,Sikkim,Urban,4.0,Relaxation,Summer,Group
Medium,36-50,Leh,Ladakh,Adventure,4.3,Wildlife,Summer,Family
High,36-50,Darjeeling,West Bengal,Hill Station,4.8,Trekking,Spring,Family
Medium,36-50,Shimla,Himachal Pradesh,Hill Station,2.3,Water Sports,Spring,Couple
Low,50+,Ooty,Tamil Nadu,Heritage,1.7,Water Sports,Winter,Couple
High,26-35,Rishikesh,Uttarakhand,Spiritual,2.5,Water Sports,Spring,Friends
High,18-25,Agra,Uttar Pradesh,Adventure,2.9,Wildlife,Monsoon,Friends
High,18-25,Mumbai,Maharashtra,Urban,3.7,Water Sports,Spring,Solo
Low,50+,Mumbai,Maharashtra,Hill Station,4.3,Sightseeing,Autumn,Couple
Medium,50+,Udaipur,Rajasthan,Urban,2.7,Sightseeing,Autumn,Family
High,50+,Kolkata,West Bengal,Hill Station,3.2,Sightseeing,Autumn,Friends
Medium,18-25,Udaipur,Rajasthan,Beach,4.2,Trekking,Winter,Solo
Medium,18-25,Udaipur,Rajasthan,Adventure,2.3,Pilgrimage,Summer,Family
High,36-50,Mumbai,Maharashtra,Adventure,2.3,Trekking,Spring,Solo
Low,26-35,Delhi,Delhi,Adventure,3.6,Wildlife,Winter,Group
Low,36-50,Varanasi,Uttar Pradesh,Spiritual,3.0,Water Sports,Winter,Family
High,26-35,Hyderabad,Telangana,Beach,4.8,Trekking,Winter,Family
Medium,26-35,Kerala,Kerala,Spiritual,2.7,Wildlife,Winter,Couple
Medium,50+,Chennai,Tamil Nadu,Spiritual,4.2,Wildlife,Summer,Family
Medium,18-25,Shimla,Himachal Pradesh,Hill Station,3.5,Relaxation,Spring,Group
High,18-25,Hyderabad,Telangana,Adventure,1.7,Wildlife,Autumn,Group
High,50+,Manali,Himachal Pradesh,Heritage,1.8,Pilgrimage,Summer,Group
High,26-35,Sikkim,Sikkim,Heritage,2.2,Trekking,Autumn,Solo
Medium,36-50,Darjeeling,West Bengal,Hill Station,2.0,Water Sports,Monsoon,Solo
Low,50+,Shimla,Himachal Pradesh,Heritage,2.7,Wildlife,Winter,Couple
Medium,36-50,Mumbai,Maharashtra,Hill Station,3.5,Pilgrimage,Winter,Friends
Medium,50+,Chennai,Tamil Nadu,Spiritual,3.6,Water Sports,Spring,Family
High,26-35,Rishikesh,Uttarakhand,Beach,3.6,Wildlife,Winter,Group
Medium,26-35,Rishikesh,Uttarakhand,Adventure,1.9,Water Sports,Monsoon,Solo
Medium,50+,Andaman,Andaman & Nicobar,Hill Station,3.6,Water Sports,Spring,Couple
High,50+,Goa,Goa,Urban,2.9,Trekking,Autumn,Solo
Medium,18-25,Agra,Uttar Pradesh,Heritage,4.7,Wildlife,Winter,Group
Low,50+,Mussoorie,Uttarakhand,Heritage,4.7,Trekking,Monsoon,Solo
Medium,36-50,Delhi,Delhi,Spiritual,4.2,Pilgrimage,Autumn,Solo
Medium,26-35,Kolkata,West Bengal,Adventure,4.0,Sightseeing,Summer,Solo
High,50+,Mumbai,Maharashtra,Heritage,1.9,Water Sports,Summer,Couple
High,26-35,Sikkim,Sikkim,Hill Station,1.8,Relaxation,Spring,Friends
High,26-35,Mysore,Karnataka,Urban,4.4,Water Sports,Summer,Group
High,50+,Kolkata,West Bengal,Beach,3.0,Pilgrimage,Spring,Group
Medium,50+,Bangalore,Karnataka,Spiritual,3.1,Sightseeing,Monsoon,Family
Medium,26-35,Hyderabad,Telangana,Urban,4.5,Sightseeing,Summer,Family
High,26-35,Kolkata,West Bengal,Beach,3.7,Sightseeing,Winter,Solo
Low,50+,Agra,Uttar Pradesh,Spiritual,2.1,Water Sports,Spring,Family
High,26-35,Shimla,Himachal Pradesh,Heritage,2.2,Sightseeing,Winter,Group
Low,18-25,Jaipur,Rajasthan,Hill Station,1.5,Pilgrimage,Spring,Group
Low,50+,Mumbai,Maharashtra,Beach,4.0,Relaxation,Monsoon,Solo
Medium,26-35,Hyderabad,Telangana,Adventure,3.2,Pilgrimage,Monsoon,Couple
Low,18-25,Andaman,Andaman & Nicobar,Beach,4.8,Sightseeing,Summer,Friends
,18-25,Hyderabad,Telangana,Heritage,4.0,Pilgrimage,Autumn,Friends
Medium,50+,Mysore,Karnataka,Spiritual,1.9,Wildlife,Summer,Solo
Medium,50+,Bangalore,Karnataka,Spiritual,2.1,Trekking,Monsoon,Friends
Medium,,Mumbai,Maharashtra,Adventure,3.3,Water Sports,Spring,Friends
Medium,26-35,Kerala,Kerala,Hill Station,4.7,Water Sports,Winter,Couple
High,36-50,Andaman,Andaman & Nicobar,Adventure,2.4,Pilgrimage,Summer,Couple
,36-50,Mysore,Karnataka,Spiritual,4.4,Trekking,Monsoon,Group
Medium,50+,Darjeeling,West Bengal,Adventure,2.6,Sightseeing,Winter,Couple
Low,18-25,Mysore,Karnataka,Adventure,2.4,Water Sports,Winter,Family
Medium,18-25,Shimla,Himachal Pradesh,Heritage,4.7,Wildlife,Monsoon,Group
Medium,18-25,Delhi,Delhi,Beach,1.7,Sightseeing,Autumn,Friends
High,,Darjeeling,West Bengal,Heritage,3.8,Relaxation,Spring,Friends
Medium,26-35,Kerala,Kerala,Urban,1.7,Wildlife,Spring,Group
Medium,50+,Leh,Ladakh,Urban,4.3,Relaxation,Autumn,Couple
,36-50,Agra,Uttar Pradesh,Urban,4.4,Relaxation,Summer,Solo
High,50+,Ooty,Tamil Nadu,Adventure,4.6,Relaxation,Autumn,Group
Low,18-25,Agra,Uttar Pradesh,Hill Station,2.2,Relaxation,Autumn,Family
Medium,26-35,Mussoorie,Uttarakhand,Beach,1.9,Relaxation,Autumn,Friends
Medium,50+,Manali,Himachal Pradesh,Heritage,3.3,Pilgrimage,Spring,Family
Low,36-50,Jaipur,Rajasthan,Adventure,2.5,Sightseeing,Autumn,Couple
Medium,18-25,Rishikesh,Uttarakhand,Hill Station,3.6,Relaxation,Spring,Solo
Medium,18-25,Mumbai,Maharashtra,Urban,3.3,Trekking,Autumn,Friends
Medium,26-35,Sikkim,Sikkim,Heritage,2.0,Sightseeing,Spring,Solo
Low,26-35,Rishikesh,Uttarakhand,Heritage,4.1,Sightseeing,Winter,Couple
High,18-25,Mussoorie,Uttarakhand,Heritage,4.3,Pilgrimage,Autumn,Friends
High,36-50,Rishikesh,Uttarakhand,Adventure,4.9,Wildlife,Spring,Solo
Low,50+,Kolkata,West Bengal,Adventure,2.9,Trekking,Monsoon,Solo
Low,26-35,Bangalore,Karnataka,Adventure,2.7,Pilgrimage,Autumn,Group
Low,50+,Udaipur,Rajasthan,Urban,2.2,Sightseeing,Spring,Friends
High,50+,Mysore,Karnataka,Hill Station,2.1,Pilgrimage,Summer,Family
Low,50+,Kolkata,West Bengal,Hill Station,2.6,Sightseeing,Autumn,Couple
Low,36-50,Udaipur,Rajasthan,Urban,4.9,Water Sports,Spring,Solo
High,18-25,Manali,Himachal Pradesh,Heritage,1.8,Wildlife,Summer,Friends
Low,18-25,Mumbai,Maharashtra,Beach,2.4,Pilgrimage,Spring,Couple
Medium,50+,Kerala,Kerala,Adventure,1.8,Sightseeing,Monsoon,Couple
High,18-25,Leh,Ladakh,Heritage,2.5,Sightseeing,Winter,Group
Medium,,Goa,Goa,Adventure,1.8,Sightseeing,Autumn,Couple
Medium,26-35,Andaman,Andaman & Nicobar,Spiritual,3.3,Relaxation,Summer,Solo
Low,26-35,Leh,Ladakh,Spiritual,3.0,Trekking,Monsoon,Friends
High,26-35,Mussoorie,Uttarakhand,Hill Station,2.1,Sightseeing,Winter,Solo
Low,18-25,Darjeeling,West Bengal,Beach,2.1,Wildlife,Summer,Couple
Medium,26-35,Andaman,Andaman & Nicobar,Heritage,3.7,Relaxation,Summer,Couple
Low,26-35,Bangalore,Karnataka,Spiritual,2.9,Pilgrimage,Winter,Group
Medium,18-25,Shimla,Himachal Pradesh,Adventure,1.7,Pilgrimage,Summer,Friends
High,36-50,Mussoorie,Uttarakhand,Hill Station,4.7,Sightseeing,Autumn,Solo
Low,26-35,Sikkim,Sikkim,Hill Station,2.9,Wildlife,Monsoon,Friends
Medium,50+,Mussoorie,Uttarakhand,Heritage,6.2,Sightseeing,Autumn,Friends
Medium,36-50,Mussoorie,Uttarakhand,Beach,2.9,Water Sports,Summer,Solo
High,18-25,Leh,Ladakh,Urban,4.4,Trekking,Autumn,Friends
High,50+,Rishikesh,Uttarakhand,Hill Station,4.7,Sightseeing,Monsoon,Friends
Low,18-25,Udaipur,Rajasthan,Heritage,2.1,Wildlife,Summer,Solo
High,50+,Delhi,Delhi,Hill Station,4.6,Water Sports,Autumn,Solo
High,50+,Udaipur,Rajasthan,Heritage,1.9,Trekking,Summer,Group
High,50+,Andaman,Andaman & Nicobar,Beach,2.5,Trekking,Monsoon,Group
Low,36-50,Sikkim,Sikkim,Spiritual,4.3,Relaxation,Monsoon,Group
Medium,18-25,Manali,Himachal Pradesh,Heritage,4.7,Sightseeing,Monsoon,Solo
Medium,18-25,Mysore,Karnataka,Heritage,3.9,Relaxation,Winter,Couple
Low,18-25,Leh,Ladakh,Beach,1.9,Pilgrimage,Autumn,Solo
Medium,36-50,Hyderabad,Telangana,Beach,3.3,Water Sports,Autumn,Family
Medium,26-35,Mussoorie,Uttarakhand,Adventure,3.5,Relaxation,Winter,Couple
High,26-35,Kolkata,West Bengal,Hill Station,2.5,Sightseeing,Summer,Group
Low,26-35,Kolkata,West Bengal,Beach,5.0,Water Sports,Summer,Family
Medium,18-25,Goa,Goa,Spiritual,2.7,Wildlife,Autumn,Couple
Low,18-25,Mumbai,Maharashtra,Beach,2.2,Trekking,Summer,Couple
Low,18-25,Shimla,Himachal Pradesh,Adventure,1.9,Wildlife,Summer,Family
Medium,36-50,Bangalore,Karnataka,Heritage,2.8,Pilgrimage,Winter,Group
Medium,50+,Delhi,Delhi,Heritage,3.9,Wildlife,Summer,Family
Medium,18-25,Mumbai,Maharashtra,Heritage,2.3,Sightseeing,Summer,Group
Medium,36-50,Rishikesh,Uttarakhand,Adventure,4.2,Pilgrimage,Winter,Family
Medium,50+,Kerala,Kerala,Beach,2.0,Wildlife,Summer,Group
Low,36-50,Delhi,Delhi,Urban,3.0,Pilgrimage,Winter,Group
Medium,36-50,Mumbai,Maharashtra,Beach,4.0,Wildlife,Summer,Group
Medium,50+,Varanasi,Uttar Pradesh,Urban,2.0,Pilgrimage,Autumn,Couple
Low,36-50,Manali,Himachal Pradesh,Beach,3.6,Water Sports,Spring,Couple
Low,26-35,Shimla,Himachal Pradesh,Spiritual,4.3,Sightseeing,Autumn,Couple
High,26-35,Goa,Goa,Heritage,3.6,Relaxation,Spring,Group
Low,26-35,Mysore,Karnataka,Urban,3.3,Water Sports,Monsoon,Friends
Low,50+,Delhi,Delhi,Heritage,4.4,Relaxation,Autumn,Group
Low,26-35,Rishikesh,Uttarakhand,Beach,4.9,Sightseeing,Spring,Family
High,50+,Mumbai,Maharashtra,Heritage,2.1,Trekking,Autumn,Solo
Low,36-50,Kolkata,West Bengal,Beach,3.9,Relaxation,Summer,Couple
Low,36-50,Sikkim,Sikkim,Hill Station,1.8,Sightseeing,Spring,Friends
Low,36-50,Varanasi,Uttar Pradesh,Heritage,1.6,Pilgrimage,Spring,Family
Low,26-35,Bangalore,Karnataka,Hill Station,2.5,Trekking,Monsoon,Solo
High,50+,Sikkim,Sikkim,Urban,4.9,Sightseeing,Autumn,Family
High,36-50,Darjeeling,West Bengal,Spiritual,3.4,Trekking,Spring,Friends
Low,18-25,Kerala,Kerala,Beach,2.4,Water Sports,Winter,Group
Low,50+,Andaman,Andaman & Nicobar,Adventure,2.0,Relaxation,Summer,Couple
Medium,50+,Udaipur,Rajasthan,Heritage,4.7,Relaxation,Spring,Group
Medium,18-25,Bangalore,Karnataka,Urban,2.8,Wildlife,Winter,Friends
Medium,36-50,Darjeeling,West Bengal,Urban,2.6,Relaxation,Summer,Group
Low,50+,Ooty,Tamil Nadu,Hill Station,4.5,Pilgrimage,Spring,Group
High,26-35,Udaipur,Rajasthan,Spiritual,3.6,Pilgrimage,Winter,Solo
High,50+,Udaipur,Rajasthan,Heritage,2.1,Sightseeing,Spring,Solo
Low,36-50,Hyderabad,Telangana,Heritage,3.0,Relaxation,Summer,Couple
High,36-50,Ooty,Tamil Nadu,Hill Station,4.7,Water Sports,Autumn,Couple
Low,36-50,Bangalore,Karnataka,Urban,4.7,Trekking,Monsoon,Couple
Low,36-50,Shimla,Himachal Pradesh,Urban,1.7,Pilgrimage,Winter,Couple
Low,26-35,Shimla,Himachal Pradesh,Beach,2.4,Pilgrimage,Summer,Couple
Medium,36-50,Kolkata,West Bengal,Heritage,2.0,Trekking,Summer,Solo
Medium,18-25,Mussoorie,Uttarakhand,Heritage,5.2,Sightseeing,Summer,Friends
High,26-35,Manali,Himachal Pradesh,Spiritual,2.5,Wildlife,Winter,Group
Medium,26-35,Andaman,Andaman & Nicobar,Heritage,4.2,Wildlife,Autumn,Friends
High,36-50,Varanasi,Uttar Pradesh,Adventure,3.8,Relaxation,Monsoon,Solo
Medium,36-50,Shimla,Himachal Pradesh,Spiritual,4.0,Trekking,Spring,Solo
Low,18-25,Mumbai,Maharashtra,Adventure,4.8,Trekking,Winter,Family
Medium,26-35,Bangalore,Karnataka,Adventure,3.0,Pilgrimage,Spring,Solo
Medium,18-25,Jaipur,Rajasthan,Heritage,2.7,Trekking,Summer,Friends
Medium,18-25,Mysore,Karnataka,Beach,3.9,Pilgrimage,Monsoon,Family
Medium,36-50,Udaipur,Rajasthan,Beach,4.3,Trekking,Spring,Couple
High,26-35,Hyderabad,Telangana,Heritage,2.2,Wildlife,Winter,Couple
Low,26-35,Manali,Himachal Pradesh,Urban,4.5,Sightseeing,Winter,Friends
High,36-50,Delhi,Delhi,Urban,1.7,Wildlife,Summer,Group
Low,26-35,Andaman,Andaman & Nicobar,Beach,1.5,Water Sports,Spring,Family
Medium,18-25,Ooty,Tamil Nadu,Adventure,2.1,Trekking,Spring,Couple
Low,50+,Kolkata,West Bengal,Spiritual,4.9,Sightseeing,Summer,Group
Medium,50+,Udaipur,Rajasthan,Heritage,3.3,Trekking,Summer,Group
Low,26-35,Delhi,Delhi,Urban,1.7,Relaxation,Monsoon,Family
High,36-50,Manali,Himachal Pradesh,Beach,5.0,Sightseeing,Monsoon,Group
Medium,36-50,Varanasi,Uttar Pradesh,Urban,4.1,Sightseeing,Summer,Couple
High,18-25,Darjeeling,West Bengal,Hill Station,4.4,Pilgrimage,Winter,Family
Low,36-50,Udaipur,Rajasthan,Beach,2.2,Relaxation,Autumn,Family
High,50+,Udaipur,Rajasthan,Hill Station,1.9,Relaxation,Winter,Family
Low,36-50,Manali,Himachal Pradesh,Hill Station,3.3,Trekking,Winter,Family
High,50+,Udaipur,Rajasthan,Adventure,4.2,Trekking,Winter,Solo
Low,50+,Andaman,Andaman & Nicobar,Urban,3.7,Pilgrimage,Autumn,Couple
High,18-25,Hyderabad,Telangana,Spiritual,3.7,Sightseeing,Summer,Couple
High,26-35,Agra,Uttar Pradesh,Urban,4.1,Relaxation,Autumn,Friends
High,36-50,Varanasi,Uttar Pradesh,Hill Station,2.3,Trekking,Summer,Couple
Low,26-35,Udaipur,Rajasthan,Heritage,3.8,Trekking,Summer,Group
High,50+,Ooty,Tamil Nadu,Heritage,2.9,Relaxation,Monsoon,Friends
High,18-25,Kerala,Kerala,Adventure,1.7,Sightseeing,Summer,Friends
Medium,18-25,Ooty,Tamil Nadu,Urban,2.2,Wildlife,Monsoon,Friends
High,50+,Manali,Himachal Pradesh,Adventure,4.3,Wildlife,Summer,Group
Low,26-35,Kolkata,West Bengal,Adventure,4.6,Trekking,Summer,Couple
High,36-50,Leh,Ladakh,Adventure,2.5,Pilgrimage,Summer,Solo
High,26-35,Leh,Ladakh,Spiritual,2.2,Sightseeing,Summer,Group
Low,50+,Kerala,Kerala,Adventure,1.6,Pilgrimage,Monsoon,Group
Low,18-25,Darjeeling,West Bengal,Adventure,4.8,Trekking,Spring,Group
Medium,50+,Sikkim,Sikkim,Heritage,3.9,Trekking,Summer,Group
High,36-50,Mussoorie,Uttarakhand,Heritage,4.8,Water Sports,Spring,Solo
Medium,26-35,Kolkata,West Bengal,Hill Station,4.5,Pilgrimage,Winter,Friends
Medium,36-50,Chennai,Tamil Nadu,Hill Station,2.7,Relaxation,Monsoon,Couple
Low,18-25,Mysore,Karnataka,Urban,1.9,Water Sports,Summer,Group
Medium,50+,Chennai,Tamil Nadu,Heritage,3.2,Sightseeing,Monsoon,Family
High,18-25,Udaipur,Rajasthan,Hill Station,1.6,Relaxation,Spring,Solo
Low,50+,Chennai,Tamil Nadu,Hill Station,2.0,Sightseeing,Monsoon,Group
Medium,18-25,Andaman,Andaman & Nicobar,Urban,2.3,Wildlife,Autumn,Couple
Medium,36-50,Varanasi,Uttar Pradesh,Beach,3.8,Water Sports,Summer,Solo
Medium,50+,Varanasi,Uttar Pradesh,Urban,3.3,Relaxation,Autumn,Solo
